中级法院 内蒙古自治区赤峰市中级人民法院 20063
中级法院 内蒙古自治区通辽市中级人民法院 10587
中级法院 内蒙古自治区鄂尔多斯市中级人民法院 15664
中级法院 内蒙古自治区呼伦贝尔市中级人民法院 12870
中级法院 内蒙古自治区巴彦淖尔市中级人民法院 3864
中级法院 内蒙古自治区乌兰察布市中级人民法院 5358
中级法院 内蒙古自治区兴安盟中级人民法院 13102
中级法院 内蒙古自治区锡林郭勒盟中级人民法院 3541
中级法院 内蒙古自治区阿拉善盟中级人民法院 1413
中级法院 呼和浩特铁路运输中级法院 540
中级法院 辽宁省沈阳市中级人民法院 64849
中级法院 辽宁省大连市中级人民法院 35396
中级法院 辽宁省鞍山市中级人民法院 8518
中级法院 辽宁省抚顺市中级人民法院 7077
中级法院 辽宁省本溪市中级人民法院 6355
中级法院 辽宁省丹东市中级人民法院 6941
中级法院 辽宁省锦州市中级人民法院 9287
中级法院 辽宁省营口市中级人民法院 5081
中级法院 辽宁省阜新市中级人民法院 4683
中级法院 辽宁省辽阳市中级人民法院 6725
中级法院 辽宁省盘锦市中级人民法院 6761
中级法院 辽宁省铁岭市中级人民法院 8204
中级法院 辽宁省朝阳市中级人民法院 5148
中级法院 辽宁省葫芦岛市中级人民法院 7620
中级法院 沈阳铁路运输中级法院 536
中级法院 辽宁省辽河中级人民法院 327
中级法院 吉林省长春市中级人民法院 61097
中级法院 吉林省吉林市中级人民法院 28256
中级法院 吉林省四平市中级人民法院 27499
中级法院 吉林省辽源市中级人民法院 5860
中级法院 吉林省通化市中级人民法院 17619
中级法院 吉林省白山市中级人民法院 5539
中级法院 吉林省松原市中级人民法院 13414
中级法院 吉林省白城市中级人民法院 29875
中级法院 吉林省延边朝鲜族自治州中级人民法院 19441
中级法院 长春铁路运输中级法院 443
中级法院 吉林省延边林区中级法院 1653
中级法院 吉林省长春林区中级法院 716
中级法院 黑龙江省哈尔滨市中级人民法院 47508
中级法院 黑龙江省齐齐哈尔市中级人民法院 23509
中级法院 黑龙江省鸡西市中级人民法院 5748
中级法院 黑龙江省鹤岗市中级人民法院 1927
中级法院 黑龙江省双鸭山市中级人民法院 4128
中级法院 黑龙江省大庆市中级人民法院 11558
中级法院 黑龙江省伊春市中级人民法院 3126
中级法院 黑龙江省佳木斯市中级人民法院 8772
中级法院 黑龙江省七台河市中级人民法院 4099
中级法院 黑龙江省牡丹江市中级人民法院 10545
中级法院 黑龙江省黑河市中级人民法院 10145
中级法院 黑龙江省绥化市中级人民法院 8167
中级法院 黑龙江省大兴安岭地区中级人民法院 1351
中级法院 哈尔滨铁路运输中级法院 733
中级法院 黑龙江省林区中级人民法院 2502
中级法院 黑龙江省农垦中级法院 4937
中级法院 上海市第一中级人民法院 78468
中级法院 上海市第二中级人民法院 60985
中级法院 上海市第三中级人民法院 268
中级法院 上海铁路运输中级法院 2705
